Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
284,Akali,Veigar,-1,-2,5,4
285,Akali,Vel Koz,0,0,0,0
286,Akali,Vi,-1,-1,1,1
287,Akali,Viktor,1,-1,1,3
288,Akali,Vladimir,0,-2,4,4
289,Akali,Volibear,0,2,2,4
290,Akali,Warwick,0,0,2,0
291,Akali,Wukong,0,0,0,0
292,Akali,Xayah,0,-2,8,2
293,Akali,Xerath,-1,-4,1,6
294,Akali,Xin Zhao,0,0,0,0
295,Akali,Yasuo,-3,-3,5,7
296,Akali,Yorick,0,0,0,0
297,Akali,Zac,0,-25,0,27
298,Akali,Zed,-1,0,5,4
299,Akali,Ziggs,-2,4,6,6
300,Akali,Zilean,2,1,2,1
301,Akali,Zoe,-1,0,1,4
302,Akali,Zyra,0,2,2,4
303,Akali,Yuumi,-3,0,11,2
304,Akali,Senna,3,-2,3,2
305,Akali,Qiana,0,0,0,0
306,Akali,Sett,-4,-4,14,8
307,Akali,Aphelios,-5,-6,11,10
308,Akali,Viego,-10,-3,14,5
309,Akali,Rell,-1,-1,1,3
310,Akali,Lillia,1,3,1,3
311,Akali,Yone,1,-5,1,17
312,Aurelion Sol,Aatrox,0,0,0,0
313,Aurelion Sol,Akali,0,0,0,0
314,Aurelion Sol,Aurelion Sol,0,0,0,0
315,Aurelion Sol,Ahri,0,0,0,0
316,Aurelion Sol,Akshan,0,0,0,0
317,Aurelion Sol,Alistar,0,0,0,0
318,Aurelion Sol,Amumu,0,0,0,0
319,Aurelion Sol,Anivia,0,0,0,0
320,Aurelion Sol,Annie,0,0,0,0
321,Aurelion Sol,Ashe,0,0,0,0
322,Aurelion Sol,Azir,0,0,0,0
323,Aurelion Sol,Bard,0,0,0,0
324,Aurelion Sol,Blitzcrank,0,0,0,0
325,Aurelion Sol,Brand,0,0,0,0
326,Aurelion Sol,Braum,0,0,0,0
327,Aurelion Sol,Camille,0,0,0,0
328,Aurelion Sol,Caitlyn,0,0,0,0
329,Aurelion Sol,Cassiopeia,0,0,0,0
330,Aurelion Sol,Cho Gath,0,0,0,0
331,Aurelion Sol,Corki,0,0,0,0
332,Aurelion Sol,Darius,0,0,0,0
333,Aurelion Sol,Dr. Mundo,0,0,0,0
334,Aurelion Sol,Diana,0,0,0,0
335,Aurelion Sol,Draven,0,0,0,0
336,Aurelion Sol,Ekko,0,0,0,0
337,Aurelion Sol,Elise,0,0,0,0
338,Aurelion Sol,Evelynn,0,0,0,0
339,Aurelion Sol,Ezreal,0,0,0,0
340,Aurelion Sol,Fiddlesticks,0,0,0,0
341,Aurelion Sol,Fiora,0,0,0,0
342,Aurelion Sol,Fizz,0,0,0,0
343,Aurelion Sol,Galio,0,0,0,0
344,Aurelion Sol,Gangplank,0,0,0,0
345,Aurelion Sol,Garen,0,0,0,0
346,Aurelion Sol,Gnar,0,0,0,0
347,Aurelion Sol,Gragas,0,0,0,0
348,Aurelion Sol,Graves,0,0,0,0
349,Aurelion Sol,Gwen,0,0,0,0
350,Aurelion Sol,Hecarim,0,0,0,0
351,Aurelion Sol,Heimerdinger,0,0,0,0
352,Aurelion Sol,Irelia,0,0,0,0
353,Aurelion Sol,Ivern,0,0,0,0
354,Aurelion Sol,Illaoi,0,0,0,0
355,Aurelion Sol,Janna,0,0,0,0
356,Aurelion Sol,Jarvan IV,0,0,0,0
357,Aurelion Sol,Jax,0,0,0,0
358,Aurelion Sol,Jayce,0,0,0,0
359,Aurelion Sol,Jhin,0,0,0,0
360,Aurelion Sol,Jinx,0,0,0,0
361,Aurelion Sol,Karma,0,0,0,0
362,Aurelion Sol,Kalista,0,0,0,0
363,Aurelion Sol,Karthus,0,0,0,0
364,Aurelion Sol,Kassadin,0,0,0,0
365,Aurelion Sol,Kai Sa,0,0,0,0
366,Aurelion Sol,Katarina,0,0,0,0
367,Aurelion Sol,Kayn,0,0,0,0
368,Aurelion Sol,Kayle,0,0,0,0
369,Aurelion Sol,Kennen,0,0,0,0
370,Aurelion Sol,Kha Zix,0,0,0,0
371,Aurelion Sol,Kog Maw,0,0,0,0
372,Aurelion Sol,Kled,0,0,0,0
373,Aurelion Sol,Kindred,0,0,0,0
374,Aurelion Sol,LeBlanc,0,0,0,0
375,Aurelion Sol,Lee Sin,0,0,0,0
376,Aurelion Sol,Leona,0,0,0,0
377,Aurelion Sol,Lucian,0,0,0,0
378,Aurelion Sol,Lissandra,0,0,0,0
379,Aurelion Sol,Lulu,0,0,0,0
380,Aurelion Sol,Lux,0,0,0,0
